year,wrkstat,marital,childs,age,educ,sex,race
1972,working full time,never married,0.0,23.0,16.0,female,white
1972,retired,married,5.0,70.0,10.0,male,white
1972,working part time,married,4.0,48.0,12.0,female,white
1972,working full time,married,0.0,27.0,17.0,female,white
1972,keeping house,married,2.0,61.0,12.0,female,white
1972,working full time,never married,0.0,26.0,14.0,male,white
1972,working full time,divorced,2.0,28.0,13.0,male,white
1972,working full time,never married,0.0,27.0,16.0,male,white
1972,working part time,never married,2.0,21.0,12.0,female,black
1972,working full time,married,4.0,30.0,12.0,female,black
1972,keeping house,married,1.0,30.0,13.0,female,black
1972,working full time,married,5.0,56.0,6.0,male,black
1972,working full time,married,1.0,54.0,9.0,male,black
1972,working full time,divorced,2.0,49.0,8.0,female,black
1972,working full time,married,5.0,41.0,9.0,male,black
1972,working full time,married,2.0,54.0,14.0,male,black
1972,in school,married,2.0,24.0,14.0,male,white
1972,keeping house,married,3.0,62.0,8.0,female,white
1972,working full time,married,3.0,46.0,17.0,female,white
1972,in school,never married,0.0,21.0,14.0,female,white
1972,working full time,married,2.0,57.0,12.0,male,white
1972,working full time,married,2.0,58.0,11.0,male,white
1972,working full time,married,0.0,21.0,13.0,male,white
1972,keeping house,married,1.0,26.0,12.0,female,white
1972,keeping house,married,0.0,71.0,16.0,female,white
1972,working full time,married,2.0,53.0,12.0,female,white
1972,working full time,married,2.0,42.0,12.0,male,white
1972,working full time,married,2.0,42.0,12.0,female,white
1972,working full time,married,0.0,20.0,12.0,male,white
1972,working full time,married,2.0,23.0,9.0,male,white
1972,working full time,married,2.0,26.0,6.0,male,white
1972,working part time,married,1.0,25.0,14.0,female,white
1972,"unemployed, laid off, looking for work",never married,0.0,26.0,16.0,male,white
1972,keeping house,married,5.0,78.0,8.0,female,white
1972,"with a job, but not at work because of temporary illness, vacation, strike",married,1.0,21.0,12.0,male,white
1972,working full time,married,2.0,27.0,14.0,male,white
1972,keeping house,married,2.0,58.0,13.0,female,white
1972,keeping house,married,1.0,35.0,10.0,female,white
1972,working part time,never married,0.0,58.0,6.0,male,white
